Round,alpha,CV_AUC,Train_AUC,n_nonzero_coeffs,Time_sec
1,0.3595813,0.8020546,0.804,22,57.358
2,0.3233992,0.8020473,0.804,22,58.382
3,0.6154854,0.8021093,0.804,21,56.166
4,0.982186,0.8021771,0.804,20,55.549
5,0.9987154,0.8021782,0.804,20,53.05
6,0.9975944,0.8021788,0.804,20,54.06
7,0.9888014,0.8021784,0.804,20,54.254
8,0.9932594,0.8021786,0.804,20,54.639
9,0.9845562,0.8021775,0.804,20,52.498
10,0.9986126,0.8021783,0.804,20,54.376
11,0.9883325,0.8021784,0.804,20,53.647
12,0.9986683,0.8021783,0.804,20,54.998
13,0.9988282,0.8021782,0.804,20,51.916
